case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,thread_region,cpu_model,physical_cores,logical_cores,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,3,3,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,4084.853295,369.3153897,4454.168685,369.3153897,366.938249,372.455369,2.316044818,4454.168685,4451.791544,4457.308664,2.316044818,2.008029971,0.6693433238,0.9170854505,0,0,1924445952,5112.859375,0,0,0,4084.853295,0,0,369.3153897,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,3,3,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,198.921515,567.08083,766.002345,567.08083,564.989053,570.987498,2.76474322,766.002345,763.910568,769.909013,2.76474322,1.30774368,0.4359145599,0.2596878669,1.225939172e-16,0.0048828125,8909472,5112.859375,50,0,198.921515,0,0,0,567.08083,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,4,4,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.000389,370.433494,370.433494,370.433494,370.026468,371.223775,0.5588973128,370.433494,370.026468,371.223775,0.5588973128,2.001968999,0.5004922499,1.050121024e-06,1.741998718e-17,0.005859375,0,5112.859375,0,0,0,0,0,0,370.433494,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,4,4,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,265.095174,319.5743767,584.6695507,319.5743767,318.519547,320.975245,1.031962608,584.6695507,583.614721,586.070419,1.031962608,2.320575195,0.5801437987,0.4534102617,1.596975678e-17,0.005859375,880070400,5112.859375,0,265.095174,0,0,48.22291533,0,246.7600097,0,0,24.59145167,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,4,4,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,4321.120142,300.0168893,4621.137031,300.0168893,298.869488,301.264484,0.9803164414,4621.137031,4619.98963,4622.384626,0.9803164414,2.471848745,0.6179621862,0.9350772575,0,0,1924445952,5112.859375,0,0,0,4321.120142,0,0,300.0168893,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,4,4,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,200.006905,450.037403,650.044308,450.037403,447.04855,455.431633,3.821727274,650.044308,647.055455,655.438538,3.821727274,1.64785497,0.4119637426,0.3076819573,1.225939172e-16,0.0048828125,8909472,5112.859375,50,0,200.006905,0,0,0,450.037403,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,5,5,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.000264,304.9703663,304.9703663,304.9703663,304.119918,305.572105,0.6183872274,304.9703663,304.119918,305.572105,0.6183872274,2.431699775,0.4863399551,8.656578774e-07,9.155239825e-17,0.005859375,0,5112.859375,0,0,0,0,0,0,304.9703663,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,5,5,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,336.208528,294.5930107,630.8015387,294.5930107,293.195064,296.663873,1.493936766,630.8015387,629.403592,632.872401,1.493936766,2.517359016,0.5034718031,0.5329862205,6.920675397e-17,0.005859375,1100088000,5112.859375,0,336.208528,0,0,61.01370267,0,207.565084,0,0,26.014224,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,5,5,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,4075.063029,262.1809293,4337.243958,262.1809293,261.400973,263.346374,0.8396813697,4337.243958,4336.464002,4338.409403,0.8396813697,2.828567178,0.5657134355,0.9395512607,0,0,1924445952,5112.859375,0,0,0,4075.063029,0,0,262.1809293,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,5,5,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,198.269986,368.798037,567.068023,368.798037,367.940543,369.451432,0.6334764894,567.068023,566.210529,567.721418,0.6334764894,2.010846851,0.4021693702,0.3496405686,1.225939172e-16,0.0048828125,8909472,5112.859375,50,0,198.269986,0,0,0,368.798037,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,6,6,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.00054,259.4562463,259.4562463,259.4562463,258.089508,260.278801,0.9730888474,259.4562463,258.089508,260.278801,0.9730888474,2.858271411,0.4763785685,2.081275774e-06,1.528886509e-17,0.0048828125,0,5112.859375,0,0,0,0,0,0,259.4562463,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,6,6,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,399.27903,281.250789,680.529819,281.250789,278.760726,283.266941,1.869926404,680.529819,678.039756,682.545971,1.869926404,2.636779701,0.4394632835,0.5867179055,1.405209813e-17,0.00390625,1320105600,5112.859375,0,399.27903,0,0,72.548595,0,179.1211873,0,0,29.58100667,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,6,6,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,3908.265525,220.3578747,4128.6234,220.3578747,218.965779,222.928712,1.819942019,4128.6234,4127.231304,4131.194237,1.819942019,3.365418061,0.5609030102,0.9466267922,0,0,1924445952,5112.859375,0,0,0,3908.265525,0,0,220.3578747,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,6,6,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,199.972379,316.1389817,516.1113607,316.1389817,313.010522,318.119744,2.238145696,516.1113607,512.982901,518.092123,2.238145696,2.345792244,0.3909653741,0.3874597504,1.225939172e-16,0.0048828125,8909472,5112.859375,50,0,199.972379,0,0,0,316.1389817,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,7,7,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.000597,227.5719157,227.5719157,227.5719157,226.896993,228.459756,0.6555188775,227.5719157,226.896993,228.459756,0.6555188775,3.258734142,0.4655334489,2.623346551e-06,1.09160544e-16,0.005859375,0,5112.859375,0,0,0,0,0,0,227.5719157,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,7,7,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,464.182049,274.9375767,739.1196257,274.9375767,274.226998,275.501655,0.5305873335,739.1196257,738.409047,739.683704,0.5305873335,2.697326354,0.3853323363,0.6280201917,8.265713991e-17,0.005859375,1540123200,5112.859375,0,464.182049,0,0,84.71637567,0,159.26833,0,0,30.952871,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,7,7,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,4073.722692,209.281339,4283.004031,209.281339,208.932109,209.59817,0.2728816414,4283.004031,4282.654801,4283.320862,0.2728816414,3.543537971,0.5062197101,0.9511367868,0,0,1924445952,5112.859375,0,0,0,4073.722692,0,0,209.281339,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,7,7,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,198.057596,278.0095327,476.0671287,278.0095327,276.476772,279.233581,1.146436928,476.0671287,474.534368,477.291177,1.146436928,2.667521377,0.3810744824,0.4160287154,1.225939172e-16,0.0048828125,8909472,5112.859375,50,0,198.057596,0,0,0,278.0095327,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,8,8,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.00041,205.7046897,205.7046897,205.7046897,204.299478,208.146411,1.733106574,205.7046897,204.299478,208.146411,1.733106574,3.605150532,0.4506438165,1.993148531e-06,9.83162923e-17,0.0068359375,0,5112.859375,0,0,0,0,0,0,205.7046897,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,8,8,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,530.52158,278.1889237,808.7105037,278.1889237,277.210273,279.030264,0.7493252101,808.7105037,807.731853,809.551844,0.7493252101,2.665801217,0.3332251522,0.6560092612,7.388096298e-17,0.005859375,1760140800,5112.859375,0,530.52158,0,0,97.268248,0,145.653399,0,0,35.26727667,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,8,8,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,4088.846421,188.6896843,4277.536105,188.6896843,187.371314,191.15075,1.741713445,4277.536105,4276.217735,4279.997171,1.741713445,3.93024332,0.491280415,0.9558882311,0,0,1924445952,5112.859375,0,0,0,4088.846421,0,0,188.6896843,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,8,8,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,196.34391,250.980883,447.324793,250.980883,248.930306,253.068605,1.689657651,447.324793,445.274216,449.412515,1.689657651,2.954792263,0.3693490329,0.4389291921,1.225939172e-16,0.0048828125,8909472,5112.859375,50,0,196.34391,0,0,0,250.980883,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
