env_group,schema_version,platform_id,run_profile,profile_note,algorithm,threads,thread_region,assembly_ms,speedup,efficiency,status,skip_reason,diagnostics,physical_cores,logical_cores,cpu_model,omp_dynamic,omp_proc_bind,omp_places,extra_memory_bytes,rel_l2
default,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_graph_coloring,4,physical_core_region,2049.710847,2.725812505,0.6814531262,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_atomic,1,physical_core_region,7474.000292,0.7544469143,0.7544469143,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,0.0
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_private_csr,1,physical_core_region,5352.356542,1.053505389,1.053505389,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,220017600.0,0.0
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_row_owner,1,physical_core_region,6044.054292,0.9329394122,0.9329394122,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_graph_coloring,1,physical_core_region,5960.546333,0.9460100036,0.9460100036,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_atomic,2,physical_core_region,3390.212722,1.66323972,0.8316198598,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,9.455095784e-18
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_private_csr,2,physical_core_region,2815.883806,2.002474835,1.001237417,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,440035200.0,8.298033569e-18
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_row_owner,2,physical_core_region,3206.57643,1.758491207,0.8792456036,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_graph_coloring,2,physical_core_region,3257.03357,1.731249107,0.8656245534,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_atomic,3,physical_core_region,2590.991472,2.176285224,0.7254284082,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,1.3639494e-17
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_private_csr,3,physical_core_region,2082.147653,2.708134772,0.9027115906,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,660052800.0,1.296852184e-17
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_row_owner,3,physical_core_region,2455.947542,2.295951506,0.7653171688,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_graph_coloring,3,physical_core_region,2374.802042,2.374402733,0.7914675777,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_atomic,4,physical_core_region,2213.703667,2.547195698,0.6367989246,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,1.761158729e-17
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_private_csr,4,physical_core_region,1839.600652,3.065195944,0.766298986,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,880070400.0,1.621461041e-17
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_row_owner,4,physical_core_region,2186.021237,2.57945182,0.6448629551,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_graph_coloring,4,physical_core_region,2091.895486,2.695515381,0.6738788453,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
