算法,原始后端,模式,线程数,峰值内存_GiB,基础内存_GiB,额外内存_GiB,符号预处理_ms,数值组装_ms,总耗时_ms,整体加速比,串行基线总耗时_ms,rel_L2,isolated_peak_rss_mb,symbolic_csr_ms,symbolic_plan_ms,symbolic_temporary_GiB,numeric_backend_extra_bytes_GiB,CPU型号,平台,数据口径,内存口径
串行基线,cpu_serial,symbolic_reuse_serial,1,2.8227119443359374,2.8227119443359374,0.0,3503.718353,698.151144,4201.869497,1.0,4201.869497,0.0,2890.457031,2137.333559,1366.384794,0.0,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
原子累加,cpu_atomic,parallel_symbolic_reuse,16,3.51041030859375,2.8227119443359374,0.6876983642578125,785.415837,159.201757,944.617594,4.448222776803371,4201.869497,1.508608293e-16,3594.660156,403.410587,382.00525,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
线程私有,cpu_private_csr,parallel_symbolic_reuse,16,6.850948333984375,2.8227119443359374,4.028236389648438,803.447404,394.192308,1197.639712,3.5084587250226384,4201.869497,1.194496172e-16,7015.371094,421.448758,381.998646,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
互斥锁,cpu_lock_guard,parallel_symbolic_reuse,16,4.571758270507813,2.8227119443359374,1.7490463261718752,786.439995,566.918197,1353.358192,3.104772647653948,4201.869497,1.503141433e-16,4681.480469,404.191161,382.248834,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
图着色,cpu_graph_coloring,parallel_symbolic_reuse,16,3.510215759765625,2.8227119443359374,0.6875038154296877,790.579161,204.403038,994.982199,4.223059971548294,4201.869497,1.225939172e-16,3594.460938,405.448396,385.130765,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
按行分配,cpu_row_owner,parallel_symbolic_reuse,16,5.339733124023438,2.8227119443359374,2.5170211796875,803.041065,161.905997,964.947062,4.354507788531927,4201.869497,0.0,5467.886719,420.394849,382.646216,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
