env_group,schema_version,platform_id,run_profile,profile_note,algorithm,threads,thread_region,assembly_ms,speedup,efficiency,status,skip_reason,diagnostics,physical_cores,logical_cores,cpu_model,omp_dynamic,omp_proc_bind,omp_places,extra_memory_bytes,rel_l2
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_private_csr,5,physical_core_region,162.428764,3.49249778,0.698499556,PASS,,,14,14,Apple M4 Max,,,,1100088000.0,6.933680511e-17
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_row_owner,5,physical_core_region,194.843875,2.911470005,0.5822940009,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_graph_coloring,5,physical_core_region,249.726875,2.271610125,0.4543220249,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_atomic,6,physical_core_region,180.5495837,3.141974,0.5236623334,PASS,,,14,14,Apple M4 Max,,,,0.0,1.624618375e-17
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_private_csr,6,physical_core_region,141.3998613,4.011899957,0.6686499929,PASS,,,14,14,Apple M4 Max,,,,1320105600.0,1.413851997e-17
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_row_owner,6,physical_core_region,146.4385557,3.873857503,0.6456429172,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_graph_coloring,6,physical_core_region,209.114847,2.712777719,0.4521296198,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_atomic,7,physical_core_region,157.6129167,3.59921071,0.5141729585,PASS,,,14,14,Apple M4 Max,,,,0.0,1.090424036e-16
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_private_csr,7,physical_core_region,132.664528,4.276064644,0.6108663777,PASS,,,14,14,Apple M4 Max,,,,1540123200.0,8.268687012e-17
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_row_owner,7,physical_core_region,158.2979447,3.58363527,0.5119478957,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
