case_name,mesh,element_type,stiffness_model,kernel,algorithm,threads,status,skip_reason,repeat_count,rel_l2,max_abs,measurement_mode,symbolic_ms_mean,symbolic_ms_min,symbolic_ms_max,symbolic_ms_std,numeric_ms_mean,numeric_ms_min,numeric_ms_max,numeric_ms_std,symbolic_numeric_total_ms_mean,symbolic_numeric_total_ms_min,symbolic_numeric_total_ms_max,symbolic_numeric_total_ms_std,isolated_peak_rss_mb_mean,isolated_peak_rss_mb_min,isolated_peak_rss_mb_max,isolated_peak_rss_mb_std
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_atomic,4,PASS,,3,1.7346104467235361e-17,0.005859375,isolated,3565.825493,3552.463061,3576.566049,10.01313072,367.892406,357.880121,386.802435,13.37914915,3933.717899,3911.457723,3963.368484,21.82728252,2045.535156,2045.507812,2045.5625,0.02232628251
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_atomic,5,PASS,,3,9.1553888759684987e-17,0.005859375,isolated,3572.781272,3569.417443,3576.33214,2.82600969,298.455845,297.690052,299.28823,0.6541503908,3871.237117,3867.107495,3875.62037,3.479991039,2045.627604,2045.582031,2045.699219,0.05126334726
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_atomic,6,PASS,,3,1.5125326692260925e-17,0.0048828125,isolated,3572.392255,3564.670463,3577.827978,5.609493831,254.1657857,253.703494,254.67377,0.3974290242,3826.55804,3818.790556,3831.531472,5.564038273,2045.501302,2045.5,2045.503906,0.001841306058
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_atomic,7,PASS,,3,1.0915882841226241e-16,0.005859375,isolated,3572.569706,3560.678012,3581.391371,8.73039208,224.589262,223.956574,225.253449,0.5299152962,3797.158968,3785.931461,3805.949134,8.351937158,2045.526042,2045.496094,2045.574219,0.03440077001
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_atomic,8,PASS,,3,9.8313384248206457e-17,0.0068359375,isolated,3561.379735,3552.396082,3574.114243,9.254595767,205.3396213,200.108799,215.587064,7.246563854,3766.719356,3757.737679,3774.437244,6.875887387,2045.588541,2045.539062,2045.660156,0.05185504762
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_atomic,9,PASS,,3,1.1639306753059434e-16,0.0068359375,isolated,3562.612849,3549.785787,3575.685724,10.57503356,221.6253393,221.265009,221.985725,0.2942310775,3784.238188,3771.411071,3797.671449,10.72931873,2045.515625,2045.503906,2045.535156,0.01390249247
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_atomic,10,PASS,,3,1.2819246853277206e-16,0.005859375,isolated,3575.152514,3568.201721,3582.400427,5.80040362,211.3092967,210.99106,211.630035,0.2608664491,3786.461811,3779.831756,3793.707222,5.681322443,2045.522135,2045.511719,2045.539062,0.01207471856
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_atomic,11,PASS,,3,1.3724944007623965e-16,0.0068359375,isolated,3565.020803,3554.731445,3573.375721,7.733425391,200.261104,199.068456,202.328016,1.467295927,3765.281907,3757.059461,3772.444177,6.325364418,2045.5625,2045.550781,2045.574219,0.009568523432
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_atomic,12,PASS,,3,1.9339478072946716e-17,0.005859375,isolated,3570.639977,3565.6961,3577.591532,5.059539098,190.4029387,189.966227,191.218904,0.577451253,3761.042916,3756.915004,3767.557759,4.661197313,2045.58724,2045.558594,2045.640625,0.03778279653
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_atomic,13,PASS,,3,1.4734479013016651e-16,0.005859375,isolated,3567.888748,3561.051476,3573.533004,5.164920102,180.3773743,179.760858,181.390448,0.7219576077,3748.266122,3741.032293,3753.293862,5.243194961,2045.584635,2045.539062,2045.65625,0.05126317793
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_atomic,14,PASS,,3,1.5070721387303627e-16,0.0068359375,isolated,3566.389168,3549.836917,3589.869057,17.06140267,169.7497267,169.253271,170.567919,0.5829297859,3736.138894,3719.264907,3760.436976,17.60913965,2045.576823,2045.539062,2045.644531,0.0479831536
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_atomic,15,PASS,,3,1.5014865129876063e-16,0.009765625,isolated,3554.843182,3549.396636,3561.809812,5.180394299,162.9952627,162.038674,164.251722,0.9280219736,3717.838444,3713.648358,3724.505204,4.765725504,2045.578125,2045.507812,2045.636719,0.05327447721
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_atomic,16,PASS,,3,1.5080955691461382e-16,0.0068359375,isolated,3568.304574,3566.670655,3569.537897,1.20433291,157.282415,156.008026,158.09734,0.9127389635,3725.586989,3722.678681,3727.635237,2.112918738,2045.561198,2045.5,2045.621094,0.04944499039
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_atomic,17,PASS,,3,1.5271473904345747e-16,0.005859375,isolated,3566.885343,3552.719498,3579.207073,10.89184647,150.963761,150.037435,151.558743,0.6637952207,3717.849104,3702.756933,3730.765816,11.53758641,2045.52474,2045.496094,2045.542969,0.02050514417
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_atomic,18,PASS,,3,1.4858577350399189e-16,0.0078125,isolated,3588.901478,3563.528487,3602.779555,17.9677741,146.0377307,145.523426,146.361799,0.36774966,3734.939208,3709.756454,3749.141354,17.85539903,2045.557292,2045.535156,2045.578125,0.01756617572
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_atomic,19,PASS,,3,1.5142771640147248e-16,0.0068359375,isolated,3587.573357,3584.257341,3591.855705,3.176385051,144.0540837,143.52088,144.629157,0.4534198047,3731.62744,3728.269555,3736.484862,3.517506142,2045.542969,2045.496094,2045.570312,0.03329847461
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_atomic,20,PASS,,3,1.4943538677297015e-16,0.005859375,isolated,3587.484143,3583.244734,3593.649447,4.460666523,140.708972,140.101945,141.800003,0.7731085076,3728.193115,3723.346679,3735.44945,5.226533508,2045.565104,2045.492188,2045.640625,0.06062712625
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_private_csr,1,PASS,,3,0,0,isolated,3652.246693,3633.041075,3663.73614,13.66750953,713.981521,707.62071,721.571488,5.761317561,4366.228214,4345.79344,4385.307628,16.1600436,2255.175781,2255.097656,2255.25,0.0622554957
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_private_csr,2,PASS,,3,8.3619349794399907e-18,0.00390625,isolated,3706.927371,3699.378783,3713.055407,5.67309363,434.5600877,431.710974,436.999176,2.178280771,4141.487459,4136.377959,4144.766381,3.661025898,2465.092448,2465.03125,2465.152344,0.04944499039
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_private_csr,3,PASS,,3,1.2953142812083079e-17,0.00390625,isolated,3768.782536,3759.555726,3776.538575,7.010785288,350.9544087,350.285409,351.352648,0.4759083521,4119.736945,4110.908374,4127.763744,6.904491408,2674.957031,2674.933594,2675,0.03042525207
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_private_csr,4,PASS,,3,1.5969756783660086e-17,0.005859375,isolated,3839.28946,3834.068392,3844.277898,4.171258062,304.8893517,303.879237,306.454849,1.122432395,4144.178812,4137.947629,4148.611867,4.535521981,2884.75651,2884.691406,2884.878906,0.08660556239
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_private_csr,5,PASS,,3,6.9206753970939503e-17,0.005859375,isolated,3907.920455,3880.743988,3927.616309,19.85318286,286.7097183,286.265292,287.330137,0.4521826287,4194.630174,4167.00928,4214.150035,20.0795541,3094.643229,3094.605469,3094.707031,0.04536755994
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_private_csr,6,PASS,,3,1.4052098129007385e-17,0.00390625,isolated,3971.359221,3966.94569,3975.932897,3.670758994,273.4369643,272.2712,274.340477,0.8648925861,4244.796185,4239.21689,4250.273374,4.514368087,3304.488281,3304.445312,3304.550781,0.0452181561
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_private_csr,7,PASS,,3,8.2657139913070665e-17,0.005859375,isolated,4031.096374,4016.651012,4045.954677,11.96673406,270.4607123,268.159373,273.608835,2.303901117,4301.557086,4284.810385,4315.568606,12.70506332,3514.304688,3514.292969,3514.3125,0.0084383873
