node,x,y,z
0,0,0,0
1,1,0,0
2,1,0.20000000000000001,0
3,0,0.20000000000000001,0
4,0,0,0.10000000000000001
5,1,0,0.10000000000000001
6,1,0.20000000000000001,0.10000000000000001
7,0,0.20000000000000001,0.10000000000000001
8,0,0.050000000000000003,0
9,0,0.10000000000000001,0
10,0,0.15000000000000002,0
11,0.94999999999999996,0,0
12,0.90000000000000002,0,0
13,0.85000000000000009,0,0
14,0.80000000000000004,0,0
15,0.75,0,0
16,0.69999999999999996,0,0
17,0.65000000000000002,0,0
18,0.59999999999999998,0,0
19,0.55000000000000004,0,0
20,0.5,0,0
21,0.44999999999999996,0,0
22,0.40000000000000002,0,0
23,0.34999999999999998,0,0
24,0.30000000000000004,0,0
25,0.25,0,0
26,0.19999999999999996,0,0
27,0.15000000000000002,0,0
28,0.099999999999999978,0,0
29,0.050000000000000044,0,0
30,0.049999999999999989,0.20000000000000001,0
31,0.099999999999999978,0.20000000000000001,0
32,0.14999999999999997,0.20000000000000001,0
33,0.20000000000000001,0.20000000000000001,0
34,0.25000000000000006,0.20000000000000001,0
35,0.29999999999999999,0.20000000000000001,0
36,0.34999999999999998,0.20000000000000001,0
37,0.40000000000000002,0.20000000000000001,0
38,0.45000000000000001,0.20000000000000001,0
39,0.5,0.20000000000000001,0
40,0.55000000000000004,0.20000000000000001,0
41,0.59999999999999998,0.20000000000000001,0
42,0.65000000000000002,0.20000000000000001,0
43,0.69999999999999996,0.20000000000000001,0
44,0.75,0.20000000000000001,0
45,0.80000000000000004,0.20000000000000001,0
46,0.84999999999999998,0.20000000000000001,0
47,0.90000000000000002,0.20000000000000001,0
48,0.94999999999999996,0.20000000000000001,0
49,1,0.15000000000000002,0
50,1,0.10000000000000001,0
51,1,0.049999999999999989,0
52,1,0.050000000000000003,0.10000000000000001
53,1,0.10000000000000001,0.10000000000000001
54,1,0.15000000000000002,0.10000000000000001
55,0.049999999999999989,0,0.10000000000000001
56,0.099999999999999978,0,0.10000000000000001
57,0.14999999999999997,0,0.10000000000000001
58,0.20000000000000001,0,0.10000000000000001
59,0.25000000000000006,0,0.10000000000000001
60,0.29999999999999999,0,0.10000000000000001
61,0.34999999999999998,0,0.10000000000000001
62,0.40000000000000002,0,0.10000000000000001
63,0.45000000000000001,0,0.10000000000000001
64,0.5,0,0.10000000000000001
65,0.55000000000000004,0,0.10000000000000001
66,0.59999999999999998,0,0.10000000000000001
67,0.65000000000000002,0,0.10000000000000001
68,0.69999999999999996,0,0.10000000000000001
69,0.75,0,0.10000000000000001
70,0.80000000000000004,0,0.10000000000000001
71,0.84999999999999998,0,0.10000000000000001
72,0.90000000000000002,0,0.10000000000000001
73,0.94999999999999996,0,0.10000000000000001
74,0.94999999999999996,0.20000000000000001,0.10000000000000001
75,0.90000000000000002,0.20000000000000001,0.10000000000000001
76,0.85000000000000009,0.20000000000000001,0.10000000000000001
77,0.80000000000000004,0.20000000000000001,0.10000000000000001
78,0.75,0.20000000000000001,0.10000000000000001
79,0.69999999999999996,0.20000000000000001,0.10000000000000001
80,0.65000000000000002,0.20000000000000001,0.10000000000000001
81,0.59999999999999998,0.20000000000000001,0.10000000000000001
82,0.55000000000000004,0.20000000000000001,0.10000000000000001
83,0.5,0.20000000000000001,0.10000000000000001
84,0.44999999999999996,0.20000000000000001,0.10000000000000001
85,0.40000000000000002,0.20000000000000001,0.10000000000000001
86,0.34999999999999998,0.20000000000000001,0.10000000000000001
87,0.30000000000000004,0.20000000000000001,0.10000000000000001
88,0.25,0.20000000000000001,0.10000000000000001
89,0.19999999999999996,0.20000000000000001,0.10000000000000001
90,0.15000000000000002,0.20000000000000001,0.10000000000000001
91,0.099999999999999978,0.20000000000000001,0.10000000000000001
92,0.050000000000000044,0.20000000000000001,0.10000000000000001
93,0,0.15000000000000002,0.10000000000000001
94,0,0.10000000000000001,0.10000000000000001
95,0,0.049999999999999989,0.10000000000000001
96,1,0.20000000000000001,0.050000000000000003
97,1,0,0.050000000000000003
98,0,0.20000000000000001,0.050000000000000003
99,0,0,0.050000000000000003
100,0.077862895178255842,0.041660379481294418,0
101,0.12428599429213472,0.049071352836880862,0
102,0.17484229206262142,0.050462867367098915,0
103,0.2251735740268519,0.049762963012774192,0
104,0.27503145485328567,0.049283115856284421,0
105,0.32485643972908501,0.050297380324404006,0
106,0.37507385517247516,0.050613302059531018,0
107,0.42492946651985053,0.0504089907314903,0
108,0.47494982834857097,0.0499990698229483,0
109,0.52502263532539517,0.049914416597993949,0
110,0.57506525756879567,0.049732063739005287,0
111,0.62517244214242818,0.049759985709455043,0
112,0.67509942308950266,0.049177987061767348,0
113,0.7246766406296874,0.048867587571271437,0
114,0.77456489000315587,0.049866897752940044,0
115,0.82512836705064463,0.049855404480694587,0
116,0.87561623785580978,0.04908578746731776,0
117,0.92213710482174405,0.041660379481294418,0
118,0.95973217114348053,0.075540743277137987,0
119,0.96149771977194975,0.12049648117808011,0
120,0.92500000000000004,0.15669872981077812,0
121,0.87610555618099262,0.14956484431025543,0
122,0.82521782014087408,0.15003168655503726,0
123,0.7745891750864603,0.15024363751540049,0
124,0.72474790465147088,0.15124707114813979,0
125,0.67515937198367415,0.15058850649766858,0
126,0.62518953090460583,0.15006061756044686,0
127,0.5750315186877154,0.15005115075567391,0
128,0.52496768818225836,0.1501870331167483,0
129,0.47493302056476949,0.15041346336461517,0
130,0.42468629064260144,0.15183605825131918,0
131,0.37370250141726002,0.15238528753219258,0
132,0.32445465311669253,0.15019736151096402,0
133,0.27482750345642559,0.15174195471408058,0
134,0.22488190510823258,0.15126797142812887,0
135,0.17410856330508573,0.15047484764150248,0
136,0.12428599429213472,0.1509286471631191,0
137,0.077862895178255842,0.15833962051870565,0
138,0.040523141540410201,0.12424584664654664,0
139,0.039620395193924907,0.078475738796624742,0
140,0.96584936490538897,0.03415063509461097,0
141,0.96708889282721044,0.16533290847303769,0
142,0.033655526161052052,0.034233619743787275,0
143,0.03322985304481374,0.16610414013467042,0
144,0.093357422625612474,0.099999999999999978,0
145,0.90918868234296546,0.099089890492808724,0
146,0.74852905002927084,0.10001099172159925,0
147,0.50004499565443594,0.099744719155494307,0
148,0.1987294463548791,0.10318619606217898,0
149,0.25,0.10000000000000003,0
150,0.60056597445073379,0.099378190608480077,0
151,0.65131780037293541,0.099796794527352128,0
152,0.34999999999999998,0.099999999999999978,0
153,0.40011208696381423,0.10279533952103792,0
154,0.15000000000000002,0.099999999999999978,0
155,0.80059289897661579,0.10004036236268395,0
156,0.85225339713467163,0.099614285389022061,0
157,0.44990784587748717,0.10064120566128934,0
158,0.29963848792012937,0.10268777925400606,0
159,0.55000000000000004,0.10000000000000001,0
160,0.69999999999999996,0.10000000000000001,0
161,0.92213710482174416,0.041660379481294418,0.10000000000000001
162,0.87571400570786528,0.049071352836880862,0.10000000000000001
163,0.82515770793737864,0.050462867367098915,0.10000000000000001
164,0.7748264259731481,0.049762963012774192,0.10000000000000001
165,0.72496854514671427,0.049283115856284421,0.10000000000000001
166,0.67514356027091504,0.050297380324404006,0.10000000000000001
167,0.62492614482752484,0.050613302059531018,0.10000000000000001
168,0.57507053348014947,0.0504089907314903,0.10000000000000001
169,0.52505017165142909,0.0499990698229483,0.10000000000000001
170,0.47497736467460483,0.049914416597993949,0.10000000000000001
171,0.42493474243120433,0.049732063739005287,0.10000000000000001
172,0.37482755785757182,0.049759985709455043,0.10000000000000001
173,0.32490057691049734,0.049177987061767348,0.10000000000000001
174,0.2753233593703126,0.048867587571271437,0.10000000000000001
175,0.22543510999684413,0.049866897752940044,0.10000000000000001
176,0.17487163294935537,0.049855404480694587,0.10000000000000001
177,0.12438376214419022,0.04908578746731776,0.10000000000000001
178,0.077862895178255953,0.041660379481294418,0.10000000000000001
179,0.040267828856519472,0.075540743277137987,0.10000000000000001
180,0.038502280228050245,0.12049648117808011,0.10000000000000001
181,0.074999999999999956,0.15669872981077812,0.10000000000000001
182,0.12389444381900738,0.14956484431025543,0.10000000000000001
183,0.17478217985912592,0.15003168655503726,0.10000000000000001
184,0.2254108249135397,0.15024363751540049,0.10000000000000001
185,0.27525209534852912,0.15124707114813979,0.10000000000000001
186,0.32484062801632585,0.15058850649766858,0.10000000000000001
187,0.37481046909539417,0.15006061756044686,0.10000000000000001
188,0.4249684813122846,0.15005115075567391,0.10000000000000001
189,0.47503231181774164,0.1501870331167483,0.10000000000000001
190,0.52506697943523051,0.15041346336461517,0.10000000000000001
191,0.57531370935739856,0.15183605825131918,0.10000000000000001
192,0.62629749858273998,0.15238528753219258,0.10000000000000001
193,0.67554534688330747,0.15019736151096402,0.10000000000000001
194,0.72517249654357441,0.15174195471408058,0.10000000000000001
195,0.77511809489176742,0.15126797142812887,0.10000000000000001
196,0.82589143669491427,0.15047484764150248,0.10000000000000001
197,0.87571400570786528,0.1509286471631191,0.10000000000000001
198,0.92213710482174416,0.15833962051870565,0.10000000000000001
199,0.95947685845958985,0.12424584664654664,0.10000000000000001
200,0.96037960480607509,0.078475738796624742,0.10000000000000001
201,0.034150635094611026,0.03415063509461097,0.10000000000000001
202,0.032911107172789555,0.16533290847303769,0.10000000000000001
203,0.96634447383894795,0.034233619743787275,0.10000000000000001
204,0.96677014695518626,0.16610414013467042,0.10000000000000001
205,0.90664257737438758,0.099999999999999978,0.10000000000000001
206,0.09081131765703454,0.099089890492808724,0.10000000000000001
207,0.25147094997072916,0.10001099172159925,0.10000000000000001
208,0.49995500434556406,0.099744719155494307,0.10000000000000001
209,0.8012705536451209,0.10318619606217898,0.10000000000000001
210,0.75,0.10000000000000003,0.10000000000000001
211,0.39943402554926621,0.099378190608480077,0.10000000000000001
212,0.34868219962706459,0.099796794527352128,0.10000000000000001
213,0.65000000000000002,0.099999999999999978,0.10000000000000001
214,0.59988791303618583,0.10279533952103792,0.10000000000000001
215,0.84999999999999998,0.099999999999999978,0.10000000000000001
216,0.19940710102338421,0.10004036236268395,0.10000000000000001
217,0.14774660286532837,0.099614285389022061,0.10000000000000001
218,0.55009215412251278,0.10064120566128934,0.10000000000000001
219,0.70036151207987063,0.10268777925400606,0.10000000000000001
220,0.44999999999999996,0.10000000000000001,0.10000000000000001
221,0.30000000000000004,0.10000000000000001,0.10000000000000001
222,1,0.080839900097917486,0.049999999999999989
223,1,0.12155236974053855,0.049999999999999996
224,1,0.16250000000000001,0.050000000000000003
225,1,0.037500000000000006,0.050000000000000003
226,0.22499999999999998,0.20000000000000001,0.050000000000000003
227,0.375,0.20000000000000001,0.049999999999999996
228,0.52500000000000002,0.20000000000000001,0.050000000000000003
229,0.625,0.20000000000000001,0.050000000000000003
230,0.72499999999999998,0.20000000000000001,0.050000000000000003
231,0.77500000000000002,0.20000000000000001,0.050000000000000003
232,0.12634898316287235,0.20000000000000001,0.050000000000000003
233,0.47499999999999998,0.20000000000000001,0.049999999999999989
234,0.17499999999999999,0.20000000000000001,0.050000000000000031
