算法,原始后端,线程数,状态,峰值内存_GiB,基础内存_GiB,额外内存_GiB,符号预处理_ms,数值组装_ms,总耗时_ms,整体加速比,串行基线总耗时_ms,symbolic_csr_ms,symbolic_plan_ms,backend_prepare_ms,mesh_load_ms_未计入,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_numeric_ms,isolated_peak_rss_mb_mean,isolated_peak_rss_mb_repeat_mean,rel_L2,max_abs,重复次数,measurement_mode,CPU型号,平台,summary_source,repeats_source
串行基线,cpu_serial,1,PASS,1.9976374306640625,1.9976374306640625,0.0,3578.118627,685.9342257,4264.052853,1.0,4264.052853,2218.709393333333,1359.408826,0.000408,459.15830466666665,0.0,0.0,0.0,0.0,685.9342256666665,2045.580729,2045.5807293333335,0.0,0.0,3,isolated,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-isolated-raw/windhub_backend_thread_sweep_intel_isolated_summary.csv,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-isolated-raw/windhub_backend_thread_sweep_intel_isolated_repeats.csv
原子累加,cpu_atomic,20,PASS,1.997622171875,1.997622171875,0.0,3587.484143,140.708972,3728.193115,1.1437317546250552,4264.052853,2224.3808806666666,1363.1028166666667,0.00044533333333333333,461.00124466666665,0.0,0.0,0.0,0.0,140.708972,2045.565104,2045.5651043333335,1.4943538677297015e-16,0.005859375,3,isolated,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-isolated-raw/windhub_backend_thread_sweep_intel_isolated_summary.csv,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-isolated-raw/windhub_backend_thread_sweep_intel_isolated_repeats.csv
线程私有,cpu_private_csr,20,PASS,6.0958518984375,1.99770474458313,4.09814715385437,4912.626757,450.3452267,5362.971984,0.795091390691852,4264.052853,2231.9664363333336,1362.461319,1318.199002,460.8305043333333,1318.199002,0.0,0.0,239.34265766666667,126.06910433333333,6242.152344,6242.152343999999,1.297996957225153e-16,0.005859375,3,isolated,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-isolated-raw/windhub_backend_thread_sweep_intel_isolated_summary.csv,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-isolated-raw/windhub_backend_thread_sweep_intel_isolated_repeats.csv
互斥锁,cpu_lock_guard,20,PASS,3.022186279296875,1.9976494908332825,1.0245367884635925,3998.378937,548.1901647,4546.569102,0.9378616616921706,4264.052853,2222.1050526666663,1360.155448,416.11843666666664,464.493638,416.11843666666664,0.0,0.0,0.0,548.1901646666666,3094.71875,3094.7187496666666,1.4749834908756838e-16,0.005859375,3,isolated,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-isolated-raw/windhub_backend_thread_sweep_intel_isolated_summary.csv,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-isolated-raw/windhub_backend_thread_sweep_intel_isolated_repeats.csv
图着色,cpu_graph_coloring,20,PASS,2.10013453125,2.0918369388484956,0.008297592401504517,3797.893665,207.4330003,4005.326665,1.0645955273163719,4264.052853,2239.2404229999997,1362.258157,196.395085,467.8330143333333,0.0,196.395085,0.0,0.0,207.43300033333335,2150.53776,2150.537760333333,1.2259391724731836e-16,0.0048828125,3,isolated,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-isolated-raw/windhub_backend_thread_sweep_intel_isolated_summary.csv,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-isolated-raw/windhub_backend_thread_sweep_intel_isolated_repeats.csv
按行分配,cpu_row_owner,20,PASS,3.8556696572265623,2.0633896985015867,1.7922799587249756,7180.922285,150.4410847,7331.363369,0.5816179935958649,4264.052853,2226.8824966666666,1363.7586783333334,3590.2811096666665,459.564863,0.0,0.0,3590.2811096666665,0.0,150.44108466666668,3948.205729,3948.205729,0.0,0.0,3,isolated,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-isolated-raw/windhub_backend_thread_sweep_intel_isolated_summary.csv,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-isolated-raw/windhub_backend_thread_sweep_intel_isolated_repeats.csv
