schema_version,platform_id,run_profile,profile_note,env_group,case_name,mesh,element_type,stiffness_model,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,thread_region,cpu_model,physical_cores,logical_cores,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"pgsa-cross-platform-v2-raw","linux-intel-full-host","full_host","","linux_intel_linear_elastic","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,27502200,cpu_atomic,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,1,2.7e-05,1188.55422,1188.55422,1188.55422,1188.55422,1188.55422,0,1188.55422,1188.55422,1188.55422,0,0.5915394848,0.5915394848,2.271667505e-08,0,0,0,2360.3125,0,0,0,0,0,0,1188.55422,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"pgsa-cross-platform-v2-raw","linux-intel-full-host","full_host","","linux_intel_linear_elastic","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,27502200,cpu_private_csr,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,1,65.250396,702.826351,768.076747,702.826351,702.826351,702.826351,0,768.076747,768.076747,768.076747,0,1.000356276,1.000356276,0.08495296369,0,0,220017600,2570.15625,0,65.250396,0,0,12.293447,0,671.477036,0,0,19.055868,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"pgsa-cross-platform-v2-raw","linux-intel-full-host","full_host","","linux_intel_linear_elastic","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,27502200,cpu_lock_guard,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,1,408.895638,2405.36852,2814.264158,2405.36852,2405.36852,2405.36852,0,2814.264158,2814.264158,2814.264158,0,0.2922948168,0.2922948168,0.1452939792,0,0,1100088000,3409.53125,0,408.895638,0,0,0,0,2405.36852,0,0,0,PASS,"","std::lock_guard<std::mutex>; granularity=per_entry","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"pgsa-cross-platform-v2-raw","linux-intel-full-host","full_host","","linux_intel_linear_elastic","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,27502200,cpu_atomic,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,1,0.000264,660.305764,660.305764,660.305764,660.305764,660.305764,0,660.305764,660.305764,660.305764,0,1.064774517,0.5323872585,3.998147743e-07,7.174818079e-18,0.00390625,0,3409.53125,0,0,0,0,0,0,660.305764,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"pgsa-cross-platform-v2-raw","linux-intel-full-host","full_host","","linux_intel_linear_elastic","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,27502200,cpu_private_csr,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,1,131.449859,434.897669,566.347528,434.897669,434.897669,434.897669,0,566.347528,566.347528,566.347528,0,1.616648699,0.8083243497,0.2321010554,8.361934979e-18,0.00390625,440035200,3409.53125,0,131.449859,0,0,23.674009,0,392.12254,0,0,19.10112,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"pgsa-cross-platform-v2-raw","linux-intel-full-host","full_host","","linux_intel_linear_elastic","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,27502200,cpu_lock_guard,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,1,412.375947,1738.483458,2150.859405,1738.483458,1738.483458,1738.483458,0,2150.859405,2150.859405,2150.859405,0,0.4044195806,0.2022097903,0.1917261287,8.563291917e-18,0.00390625,1100088000,3409.535156,0,412.375947,0,0,0,0,1738.483458,0,0,0,PASS,"","std::lock_guard<std::mutex>; granularity=per_entry","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"pgsa-cross-platform-v2-raw","linux-intel-full-host","full_host","","linux_intel_linear_elastic","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,27502200,cpu_atomic,3,3,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,1,0.000272,466.241272,466.241272,466.241272,466.241272,466.241272,0,466.241272,466.241272,466.241272,0,1.507967641,0.5026558803,5.833889369e-07,1.385482719e-17,0.005859375,0,3409.535156,0,0,0,0,0,0,466.241272,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"pgsa-cross-platform-v2-raw","linux-intel-full-host","full_host","","linux_intel_linear_elastic","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,27502200,cpu_private_csr,3,3,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,1,196.853832,350.258384,547.112216,350.258384,350.258384,350.258384,0,547.112216,547.112216,547.112216,0,2.007308841,0.6691029472,0.3598052214,1.295314281e-17,0.00390625,660052800,3409.535156,0,196.853832,0,0,35.800911,0,293.46482,0,0,20.992653,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"pgsa-cross-platform-v2-raw","linux-intel-full-host","full_host","","linux_intel_linear_elastic","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,27502200,cpu_lock_guard,3,3,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,1,407.231724,1293.47906,1700.710784,1293.47906,1293.47906,1293.47906,0,1700.710784,1700.710784,1700.710784,0,0.5435547994,0.1811849331,0.2394479578,1.423906036e-17,0.005859375,1100088000,3409.535156,0,407.231724,0,0,0,0,1293.47906,0,0,0,PASS,"","std::lock_guard<std::mutex>; granularity=per_entry","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"pgsa-cross-platform-v2-raw","linux-intel-full-host","full_host","","linux_intel_linear_elastic","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,27502200,cpu_atomic,4,4,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,1,0.000401,370.194139,370.194139,370.194139,370.194139,370.194139,0,370.194139,370.194139,370.194139,0,1.899210919,0.4748027298,1.083215421e-06,1.682088813e-17,0.005859375,0,3409.535156,0,0,0,0,0,0,370.194139,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
