算法,原始后端,线程数,状态,准备耗时_ms,组装耗时_ms,总耗时_ms,峰值内存_GiB,基础内存_GiB,额外内存_GiB,整体加速比_按总耗时,CSV原始加速比_按组装耗时,串行基线总耗时_ms,rel_L2,max_abs,重复次数,CPU型号,平台,源文件
串行基线,cpu_serial,1,PASS,0.000456,697.2906717,697.2906717,1.9974250791015624,1.9974250791015624,0.0,1.0,1.0,697.2906717,0.0,0.0,3,Intel(R) Core(TM) Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-raw/windhub_backend_thread_sweep_intel.csv
原子累加,cpu_atomic,20,PASS,0.000377,144.5629917,144.5629917,6.198265076171875,6.198265076171875,0.0,4.823438305337728,4.823438306,697.2906717,1.484437408e-16,0.005859375,3,Intel(R) Core(TM) Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-raw/windhub_backend_thread_sweep_intel.csv
线程私有,cpu_private_csr,20,PASS,1342.162442,451.2457807,1793.408223,6.403194427734375,2.305047273880005,4.09814715385437,0.38880755801017647,1.545256934,697.2906717,1.297996957e-16,0.005859375,3,Intel(R) Core(TM) Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-raw/windhub_backend_thread_sweep_intel.csv
互斥锁,cpu_lock_guard,20,PASS,424.934353,570.8341883,995.7685413,6.403194427734375,5.3786576392707826,1.0245367884635925,0.7002537665928571,1.221529274,697.2906717,1.474012542e-16,0.005859375,3,Intel(R) Core(TM) Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-raw/windhub_backend_thread_sweep_intel.csv
图着色,cpu_graph_coloring,20,PASS,201.138144,200.0089433,401.1470873,6.403194427734375,6.394896835332871,0.008297592401504517,1.738241891255532,3.486297463,697.2906717,1.225939172e-16,0.0048828125,3,Intel(R) Core(TM) Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-raw/windhub_backend_thread_sweep_intel.csv
按行分配,cpu_row_owner,20,PASS,3659.53651,161.1728347,3820.709345,6.403194427734375,4.6109144690093995,1.7922799587249756,0.18250293564270065,4.326353589,697.2906717,0.0,0.0,3,Intel(R) Core(TM) Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-raw/windhub_backend_thread_sweep_intel.csv
