算法,原始后端,线程数,状态,准备耗时_ms,组装耗时_ms,总耗时_ms,预估峰值内存_GiB,预估基础内存_GiB,额外内存_GiB,线程扫描进程峰值RSS_GiB_不用于绘图,内存估算说明,峰值内存_GiB,基础内存_GiB,整体加速比_按总耗时,CSV原始加速比_按组装耗时,串行基线总耗时_ms,rel_L2,max_abs,重复次数,CPU型号,平台,源文件
串行基线,cpu_serial,1,PASS,0.000456,697.2906717,697.2906717,2.71783447265625,2.71783447265625,0.0,1.9974250791015624,串行基础内存参考既有Intel隔离进程测量,2.71783447265625,2.71783447265625,1.0,1.0,697.2906717,0.0,0.0,3,Intel(R) Core(TM) Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-raw/windhub_backend_thread_sweep_intel.csv
原子累加,cpu_atomic,20,PASS,0.000377,144.5629917,144.5629917,3.2776832578125,3.2776832578125,0.0,6.198265076171875,并行基础内存参考cpu_atomic 20线程隔离进程测量，叠加当前后端额外内存,3.2776832578125,3.2776832578125,4.823438305337728,4.823438306,697.2906717,1.484437408e-16,0.005859375,3,Intel(R) Core(TM) Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-raw/windhub_backend_thread_sweep_intel.csv
线程私有,cpu_private_csr,20,PASS,1342.162442,451.2457807,1793.408223,7.37583041166687,3.2776832578125,4.09814715385437,6.403194427734375,并行基础内存参考cpu_atomic 20线程隔离进程测量，叠加当前后端额外内存,7.37583041166687,3.2776832578125,0.38880755801017647,1.545256934,697.2906717,1.297996957e-16,0.005859375,3,Intel(R) Core(TM) Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-raw/windhub_backend_thread_sweep_intel.csv
互斥锁,cpu_lock_guard,20,PASS,424.934353,570.8341883,995.7685413,4.3022200462760924,3.2776832578125,1.0245367884635925,6.403194427734375,并行基础内存参考cpu_atomic 20线程隔离进程测量，叠加当前后端额外内存,4.3022200462760924,3.2776832578125,0.7002537665928571,1.221529274,697.2906717,1.474012542e-16,0.005859375,3,Intel(R) Core(TM) Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-raw/windhub_backend_thread_sweep_intel.csv
图着色,cpu_graph_coloring,20,PASS,201.138144,200.0089433,401.1470873,3.2859808502140044,3.2776832578125,0.008297592401504517,6.403194427734375,并行基础内存参考cpu_atomic 20线程隔离进程测量，叠加当前后端额外内存,3.2859808502140044,3.2776832578125,1.738241891255532,3.486297463,697.2906717,1.225939172e-16,0.0048828125,3,Intel(R) Core(TM) Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-raw/windhub_backend_thread_sweep_intel.csv
按行分配,cpu_row_owner,20,PASS,3659.53651,161.1728347,3820.709345,5.0699632165374755,3.2776832578125,1.7922799587249756,6.403194427734375,并行基础内存参考cpu_atomic 20线程隔离进程测量，叠加当前后端额外内存,5.0699632165374755,3.2776832578125,0.18250293564270065,4.326353589,697.2906717,0.0,0.0,3,Intel(R) Core(TM) Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,/Users/haohua_jiang/parallel-global-stiffness-assembly-research-and-implementation/parallel_global_stiffness_assembly/cpu_parallel_stiffness_assembly/results/2026-06-26-intel-backend-thread-sweep-raw/windhub_backend_thread_sweep_intel.csv
