算法,原始后端,模式,线程数,峰值内存_GiB,基础内存_GiB,额外内存_GiB,符号组装_ms,数值组装_ms,后端准备_ms,实际累加_ms,总耗时_ms,整体加速比,串行基线总耗时_ms,rel_L2,isolated_peak_rss_mb,symbolic_csr_ms,symbolic_plan_ms,symbolic_temporary_GiB,numeric_backend_extra_bytes_GiB,CPU型号,平台,数据口径,内存口径,内存测量来源,重复次数,成功次数
串行基线,cpu_serial,symbolic_reuse_serial,1,3.0273017880859374,3.0273017880859374,0.0,3505.733168,696.362006,0.0,696.362006,4202.095174,1.0,4202.095174,0.0,3099.957031,2133.643606,1372.089562,0.0,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
原子累加,cpu_atomic,parallel_symbolic_reuse,16,3.547359466796875,3.0273017880859374,0.5200576787109377,788.316337,159.817311,0.0,159.817311,948.133648,4.431965032423362,4202.095174,1.507156051e-16,3632.496094,406.73292,383.483137,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
线程私有,cpu_private_csr,parallel_symbolic_reuse,16,6.850982666015625,3.0273017880859374,3.8236808779296876,784.780263,1465.977469,1064.865292,401.112177,2250.757732,1.8669691163366844,4202.095174,1.194496172e-16,7015.40625,401.595043,381.385591,0.1394679844379425,3.278517723083496,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
互斥锁,cpu_lock_guard,parallel_symbolic_reuse,16,4.5970001220703125,3.0273017880859374,1.569698333984375,798.391167,985.059916,415.02309,570.036826,1783.451083,2.3561594786953854,4202.095174,1.502285296e-16,4707.328125,416.104415,380.417215,0.1394679844379425,1.0245367884635925,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
图着色,cpu_graph_coloring,parallel_symbolic_reuse,16,3.5723686220703126,3.0273017880859374,0.5450668339843752,810.339606,405.062885,200.77645,204.286435,1215.402491,3.457369229630779,4202.095174,1.225939172e-16,3658.105469,419.289055,387.033336,0.1394679844379425,0.008297592401504517,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
按行分配,cpu_row_owner,parallel_symbolic_reuse,16,5.364768982421875,3.0273017880859374,2.3374671943359377,798.233707,4042.672471,3879.144068,163.528403,4840.906178,0.8680389620226182,4202.095174,0.0,5493.523438,417.806145,382.995707,0.1394679844379425,1.7922799587249756,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
