algorithm,label,threads,assembly_ms,speedup,efficiency,extra_memory_gib,peak_rss_gib,rel_l2,max_abs
cpu_atomic,Atomic,20,139.185964,5.051348073,0.2525674036,0.0,6.197669982421875,1.499012774e-16,0.005859375
cpu_private_csr,Private CSR,20,433.340148,1.622459295,0.08112296475,4.09814715385437,6.402618408203125,1.297996957e-16,0.005859375
cpu_lock_guard,Lock guard,20,536.530983,1.31041221,0.06552061048,1.0245367884635925,6.402618408203125,1.488436303e-16,0.005859375
