archive	archive_sha256	member	archive_member_sha256	working_tree_sha256	normalized_lf_sha256	comparison
intel_backend_thread_sweep_raw_2026-06-26.tar.gz	cfe3ffc9aa03d71d9a9745db120fc660d26c8b89dc70045106d12b31395b2d79	results/2026-06-26-intel-backend-thread-sweep-raw/README_raw_data.md	643d49a95990552b82b4c6a07b1c970dcce3c679db47efb3daf48239a3c7c728	643d49a95990552b82b4c6a07b1c970dcce3c679db47efb3daf48239a3c7c728	643d49a95990552b82b4c6a07b1c970dcce3c679db47efb3daf48239a3c7c728	byte_equal
intel_backend_thread_sweep_raw_2026-06-26.tar.gz	cfe3ffc9aa03d71d9a9745db120fc660d26c8b89dc70045106d12b31395b2d79	results/2026-06-26-intel-backend-thread-sweep-raw/platform_info.txt	83d8903d54477df8f35f5c3758bd59ae3717201abceda13b62188a3087684dcb	83d8903d54477df8f35f5c3758bd59ae3717201abceda13b62188a3087684dcb	83d8903d54477df8f35f5c3758bd59ae3717201abceda13b62188a3087684dcb	byte_equal
intel_backend_thread_sweep_raw_2026-06-26.tar.gz	cfe3ffc9aa03d71d9a9745db120fc660d26c8b89dc70045106d12b31395b2d79	results/2026-06-26-intel-backend-thread-sweep-raw/run_commands.sh	0f0df6ffa34865e9878bc502582d2dbbdacbe2a057836f026e7a50e4e8a2f295	0f0df6ffa34865e9878bc502582d2dbbdacbe2a057836f026e7a50e4e8a2f295	0f0df6ffa34865e9878bc502582d2dbbdacbe2a057836f026e7a50e4e8a2f295	byte_equal
intel_backend_thread_sweep_raw_2026-06-26.tar.gz	cfe3ffc9aa03d71d9a9745db120fc660d26c8b89dc70045106d12b31395b2d79	results/2026-06-26-intel-backend-thread-sweep-raw/windhub_backend_thread_sweep_intel.csv	6c5a2fd6151cc02cbbe3035777eae5a9bac8f252a984721ac3d51e9c22dca527	6c5a2fd6151cc02cbbe3035777eae5a9bac8f252a984721ac3d51e9c22dca527	6c5a2fd6151cc02cbbe3035777eae5a9bac8f252a984721ac3d51e9c22dca527	byte_equal
intel_backend_thread_sweep_raw_2026-06-26.tar.gz	cfe3ffc9aa03d71d9a9745db120fc660d26c8b89dc70045106d12b31395b2d79	results/2026-06-26-intel-backend-thread-sweep-raw/windhub_backend_thread_sweep_intel.json	c37eb15081d401c5fedb9c6ebb65b3cbdb405fbbfd7bea396612fe01ff672168	c37eb15081d401c5fedb9c6ebb65b3cbdb405fbbfd7bea396612fe01ff672168	c37eb15081d401c5fedb9c6ebb65b3cbdb405fbbfd7bea396612fe01ff672168	byte_equal
intel_backend_thread_sweep_raw_2026-06-26.tar.gz	cfe3ffc9aa03d71d9a9745db120fc660d26c8b89dc70045106d12b31395b2d79	results/2026-06-26-intel-backend-thread-sweep-raw/windhub_backend_thread_sweep_intel.md	036d95a9b8f9b17ccd1a543a8ff9ab6ee8c3897a4798310eea0736d84fa3034d	036d95a9b8f9b17ccd1a543a8ff9ab6ee8c3897a4798310eea0736d84fa3034d	036d95a9b8f9b17ccd1a543a8ff9ab6ee8c3897a4798310eea0736d84fa3034d	byte_equal
linux_intel_symbolic_parallel_backends_raw_2026-06-26.tar.gz	71910e33e0b8a1c3dbe564fba407e44599c3fb752126c0d059f79c8299209bf8	results/2026-06-26-linux-intel-symbolic-parallel-backends-raw/README_raw_data.md	417e8466c04140a4cb4ff2ff0a1ee584a0622e914e93b8efc54681b0004ce054	417e8466c04140a4cb4ff2ff0a1ee584a0622e914e93b8efc54681b0004ce054	417e8466c04140a4cb4ff2ff0a1ee584a0622e914e93b8efc54681b0004ce054	byte_equal
linux_intel_symbolic_parallel_backends_raw_2026-06-26.tar.gz	71910e33e0b8a1c3dbe564fba407e44599c3fb752126c0d059f79c8299209bf8	results/2026-06-26-linux-intel-symbolic-parallel-backends-raw/isolated_symbolic_memory/isolated_symbolic_memory.csv	712227d8f9468740acb1bbc4851835c4c2f7b330a381f4b9ef9e2aa9701e2bf9	28824a2a21f6627ee72dead08abf8d18e71c70dc78b7755d21e76f85ed53f954	28824a2a21f6627ee72dead08abf8d18e71c70dc78b7755d21e76f85ed53f954	line_endings_only
linux_intel_symbolic_parallel_backends_raw_2026-06-26.tar.gz	71910e33e0b8a1c3dbe564fba407e44599c3fb752126c0d059f79c8299209bf8	results/2026-06-26-linux-intel-symbolic-parallel-backends-raw/isolated_symbolic_memory/isolated_symbolic_memory.json	1fc2cbf7e69b8f6950fd807736c9dfb2829600d75832d83130d88e521985d6ad	1fc2cbf7e69b8f6950fd807736c9dfb2829600d75832d83130d88e521985d6ad	1fc2cbf7e69b8f6950fd807736c9dfb2829600d75832d83130d88e521985d6ad	byte_equal
linux_intel_symbolic_parallel_backends_raw_2026-06-26.tar.gz	71910e33e0b8a1c3dbe564fba407e44599c3fb752126c0d059f79c8299209bf8	results/2026-06-26-linux-intel-symbolic-parallel-backends-raw/isolated_symbolic_memory/isolated_symbolic_memory.md	66c3d2eed915717a39b8a027ccc07c1ee048c62c8c8494241f885ce1aca6f247	66c3d2eed915717a39b8a027ccc07c1ee048c62c8c8494241f885ce1aca6f247	66c3d2eed915717a39b8a027ccc07c1ee048c62c8c8494241f885ce1aca6f247	byte_equal
linux_intel_symbolic_parallel_backends_raw_2026-06-26.tar.gz	71910e33e0b8a1c3dbe564fba407e44599c3fb752126c0d059f79c8299209bf8	results/2026-06-26-linux-intel-symbolic-parallel-backends-raw/platform_info.txt	d72043a64237162a8444127e59fa6d9d124854fcc217439d23ef7ab5c1209588	d72043a64237162a8444127e59fa6d9d124854fcc217439d23ef7ab5c1209588	d72043a64237162a8444127e59fa6d9d124854fcc217439d23ef7ab5c1209588	byte_equal
linux_intel_symbolic_parallel_backends_raw_2026-06-26.tar.gz	71910e33e0b8a1c3dbe564fba407e44599c3fb752126c0d059f79c8299209bf8	results/2026-06-26-linux-intel-symbolic-parallel-backends-raw/run.log	48d7034d7ce565b68708216e89d24583c1380e1374c6b901431dd12705681310	48d7034d7ce565b68708216e89d24583c1380e1374c6b901431dd12705681310	48d7034d7ce565b68708216e89d24583c1380e1374c6b901431dd12705681310	archive_unique_extracted_byte_equal
linux_intel_symbolic_parallel_backends_raw_2026-06-26.tar.gz	71910e33e0b8a1c3dbe564fba407e44599c3fb752126c0d059f79c8299209bf8	results/2026-06-26-linux-intel-symbolic-parallel-backends-raw/run_commands.sh	365ac493307f2d5eebde9f01bb0ce6263d0c03af4ed7ba178855970bd4fad922	365ac493307f2d5eebde9f01bb0ce6263d0c03af4ed7ba178855970bd4fad922	365ac493307f2d5eebde9f01bb0ce6263d0c03af4ed7ba178855970bd4fad922	byte_equal
