case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_coo_sort_reduce,1,1,1,0.507166,4935.610208,4935.610208,4935.610208,4935.610208,4935.610208,0,4935.610208,4935.610208,4935.610208,0,0.1089712608,0.1089712608,0.0001027564939,1.614852222e-16,0.005859375,2565927936,7475.921875,0,0,0,0,0,587.295375,0,164.213458,4101.354209,82.747166,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_coo_sort_reduce,2,2,1,0.4645,4679.651416,4679.651416,4679.651416,4679.651416,4679.651416,0,4679.651416,4679.651416,4679.651416,0,0.1149315663,0.05746578315,9.925952998e-05,1.614852222e-16,0.005859375,2565927936,9923.09375,0,0,0,0,0,280.898875,0,148.274958,4162.937125,87.540458,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_coo_sort_reduce,4,4,1,0.495458,4330.91575,4330.91575,4330.91575,4330.91575,4330.91575,0,4330.91575,4330.91575,4330.91575,0,0.1241861302,0.03104653254,0.0001144002859,1.614852222e-16,0.005859375,2565927936,12370.28125,0,0,0,0,0,188.46425,0,81.456792,3978.944625,82.050083,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
