env_group,algorithm,threads,thread_region,assembly_ms,speedup,efficiency,status,skip_reason,diagnostics,physical_cores,logical_cores,cpu_model,omp_dynamic,omp_proc_bind,omp_places,extra_memory_bytes,rel_l2
default,cpu_row_owner,7,physical_core_region,274.919886,3.921068146,0.5601525923,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1924445952.0,0.0
default,cpu_graph_coloring,7,physical_core_region,318.2436307,3.387277871,0.4838968387,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,8909472.0,1.225939172e-16
default,cpu_atomic,8,physical_core_region,278.1281487,3.875837857,0.4844797321,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,9.833249782e-17
default,cpu_private_csr,8,physical_core_region,375.674781,2.869448955,0.3586811193,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1760140800.0,7.388096298e-17
default,cpu_row_owner,8,physical_core_region,245.5599807,4.389883094,0.5487353867,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1924445952.0,0.0
default,cpu_graph_coloring,8,physical_core_region,293.2658117,3.675776599,0.4594720748,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,8909472.0,1.225939172e-16
default,cpu_atomic,9,physical_core_region,252.388581,4.271110854,0.4745678726,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,1.164630395e-16
default,cpu_private_csr,9,physical_core_region,380.6744457,2.831762468,0.3146402742,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1980158400.0,8.851448216e-17
default,cpu_row_owner,9,physical_core_region,230.2936977,4.680890613,0.520098957,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1924445952.0,0.0
default,cpu_graph_coloring,9,physical_core_region,267.6458127,4.027634869,0.4475149855,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,8909472.0,1.225939172e-16
default,cpu_atomic,10,physical_core_region,236.3296833,4.56133818,0.456133818,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,1.283055343e-16
default,cpu_private_csr,10,physical_core_region,390.1943557,2.762673504,0.2762673504,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,2200176000.0,9.677662906e-17
default,cpu_row_owner,10,physical_core_region,225.822845,4.773563134,0.4773563134,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1924445952.0,0.0
