env_group,algorithm,threads,thread_region,assembly_ms,speedup,efficiency,status,skip_reason,diagnostics,physical_cores,logical_cores,cpu_model,omp_dynamic,omp_proc_bind,omp_places,extra_memory_bytes,rel_l2
default,cpu_row_owner,8,physical_core_region,188.8201157,3.791554914,0.4739443642,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1924445952.0,0.0
default,cpu_graph_coloring,8,physical_core_region,250.131923,2.862177001,0.3577721252,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,8909472.0,1.225939172e-16
default,cpu_atomic,9,physical_core_region,219.5446653,3.260939346,0.362326594,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,1.164440215e-16
default,cpu_private_csr,9,physical_core_region,300.8306247,2.379817009,0.2644241121,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1980158400.0,8.851448216e-17
default,cpu_row_owner,9,physical_core_region,189.418698,3.779573215,0.4199525794,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1924445952.0,0.0
default,cpu_graph_coloring,9,physical_core_region,254.7466623,2.810328625,0.3122587361,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,8909472.0,1.225939172e-16
default,cpu_atomic,10,physical_core_region,205.987224,3.475564277,0.3475564277,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,1.280302728e-16
default,cpu_private_csr,10,physical_core_region,309.3531187,2.314254469,0.2314254469,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,2200176000.0,9.677662906e-17
default,cpu_row_owner,10,physical_core_region,183.219575,3.907452778,0.3907452778,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1924445952.0,0.0
default,cpu_graph_coloring,10,physical_core_region,248.1947227,2.88451676,0.288451676,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,8909472.0,1.225939172e-16
default,cpu_atomic,11,physical_core_region,192.8629993,3.71207458,0.3374613255,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,1.366504695e-16
default,cpu_private_csr,11,physical_core_region,324.39539,2.206942082,0.2006310983,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,2420193600.0,1.038038833e-16
default,cpu_row_owner,11,physical_core_region,179.256415,3.993842214,0.3630765649,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1924445952.0,0.0
default,cpu_graph_coloring,11,physical_core_region,235.9352397,3.034399772,0.2758545247,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,8909472.0,1.225939172e-16
default,cpu_atomic,12,physical_core_region,183.1849347,3.908191679,0.3256826399,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,2.055559587e-17
default,cpu_private_csr,12,physical_core_region,333.728689,2.145221136,0.178768428,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,2640211200.0,1.932444198e-17
default,cpu_row_owner,12,physical_core_region,166.1370087,4.309225519,0.3591021266,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1924445952.0,0.0
default,cpu_graph_coloring,12,physical_core_region,232.6044377,3.077851156,0.2564875963,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,8909472.0,1.225939172e-16
default,cpu_atomic,13,physical_core_region,176.0828377,4.065824057,0.3127556967,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,1.46649513e-16
default,cpu_private_csr,13,physical_core_region,346.4528677,2.066433573,0.1589564287,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,2860228800.0,1.128468268e-16
default,cpu_row_owner,13,physical_core_region,168.300469,4.253831505,0.3272178081,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1924445952.0,0.0
default,cpu_graph_coloring,13,physical_core_region,225.8973003,3.169235915,0.2437873781,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,8909472.0,1.225939172e-16
default,cpu_atomic,14,physical_core_region,167.6882093,4.269363005,0.3049545004,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,1.487612329e-16
